gene_id       	 n_called	 pct_UM               	 pct_gbM             	 pct_teM
CUFF_NC.1914  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.20    	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.200   	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.1883  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2019  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.9803  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.9849  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.985   	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.9854  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.9855  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.1004  	      533	  89.49343339587243   	 10.318949343339586  	   0.18761726078799248
CUFF_NC.2028  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.186   	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.1867  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2049  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2060  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.1850  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2065  	      533	  89.30581613508443   	 10.318949343339586  	   0.37523452157598497
CUFF_NC.9743  	      533	  89.49343339587243   	 10.318949343339586  	   0.18761726078799248
CUFF_NC.9753  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.9768  	      533	  89.30581613508443   	 10.318949343339586  	   0.37523452157598497
CUFF_NC.2071  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2087  	      533	  87.99249530956847   	 10.318949343339586  	   1.6885553470919326
CUFF_NC.2094  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.1831  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2124  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2125  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2129  	      533	  89.49343339587243   	 10.318949343339586  	   0.18761726078799248
CUFF_NC.213   	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.1819  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.182   	      533	  89.30581613508443   	 10.318949343339586  	   0.37523452157598497
CUFF_NC.1820  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2158  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2178  	      533	  89.49343339587243   	 10.318949343339586  	   0.18761726078799248
CUFF_NC.1799  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.1800  	      533	  89.30581613508443   	 10.318949343339586  	   0.37523452157598497
CUFF_NC.9657  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.9682  	      533	  89.49343339587243   	 10.318949343339586  	   0.18761726078799248
CUFF_NC.9704  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.9705  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.219   	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2211  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2215  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.1787  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2237  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2257  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2272  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2273  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.1769  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.232   	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.234   	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2341  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2344  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2345  	      533	  89.49343339587243   	 10.318949343339586  	   0.18761726078799248
CUFF_NC.235   	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.9612  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.9624  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.9644  	      533	  89.11819887429644   	 10.318949343339586  	   0.5628517823639775
CUFF_NC.9649  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2362  	      533	  89.30581613508443   	 10.318949343339586  	   0.37523452157598497
CUFF_NC.2378  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2380  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2381  	      533	  89.49343339587243   	 10.318949343339586  	   0.18761726078799248
CUFF_NC.2385  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.241   	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2417  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2437  	      533	  89.49343339587243   	 10.318949343339586  	   0.18761726078799248
CUFF_NC.2438  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.1718  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.1730  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.9539  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.955   	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.9557  	      533	  89.49343339587243   	 10.318949343339586  	   0.18761726078799248
CUFF_NC.9558  	      533	  89.49343339587243   	 10.318949343339586  	   0.18761726078799248
CUFF_NC.10093 	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.9581  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2447  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2485  	      533	  89.49343339587243   	 10.318949343339586  	   0.18761726078799248
CUFF_NC.1703  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.171   	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2490  	      533	  89.49343339587243   	 10.318949343339586  	   0.18761726078799248
CUFF_NC.2491  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.2523  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.1690  	      533	  88.55534709193246   	 10.318949343339586  	   1.125703564727955
CUFF_NC.1691  	      533	  89.30581613508443   	 10.318949343339586  	   0.37523452157598497
CUFF_NC.9484  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.9485  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
CUFF_NC.9496  	      533	  89.6810506566604    	 10.318949343339586  	   0.0
